Data As Of,Start Date,End Date,Group,State,Sex,Age Group,COVID-19 Deaths,Total Deaths,Pneumonia Deaths,P&C Deaths,Influenza Deaths,P/I/C Deaths
09/27/2023,05/01/2020,05/31/2020,By Month,Nevada,Female,85 years and over,15.0,312.0,24.0,12.0,0.0,27.0
09/27/2023,06/01/2020,06/30/2020,By Month,Nevada,Male,50-64 years,14.0,280.0,31.0,12.0,0.0,33.0
09/27/2023,06/01/2020,06/30/2020,By Month,Nevada,Male,75-84 years,21.0,349.0,26.0,11.0,0.0,36.0
09/27/2023,06/01/2020,06/30/2020,By Month,Nevada,Female,1-4 years,0.0,0.0,0.0,0.0,0.0,0.0
09/27/2023,06/01/2020,06/30/2020,By Month,Nevada,Female,25-34 years,0.0,14.0,0.0,0.0,0.0,0.0
09/27/2023,06/01/2020,06/30/2020,By Month,Nevada,Female,30-39 years,0.0,29.0,0.0,0.0,0.0,0.0
09/27/2023,06/01/2020,06/30/2020,By Month,Nevada,Female,75-84 years,13.0,266.0,24.0,10.0,0.0,27.0
09/27/2023,07/01/2020,07/31/2020,By Month,Nevada,Male,15-24 years,0.0,32.0,0.0,0.0,0.0,0.0
09/27/2023,07/01/2020,07/31/2020,By Month,Nevada,Male,40-49 years,13.0,102.0,13.0,10.0,0.0,16.0
09/27/2023,07/01/2020,07/31/2020,By Month,Nevada,Male,45-54 years,30.0,154.0,33.0,27.0,0.0,36.0
09/27/2023,07/01/2020,07/31/2020,By Month,Nevada,Male,50-64 years,49.0,341.0,54.0,42.0,0.0,61.0
09/27/2023,07/01/2020,07/31/2020,By Month,Nevada,Male,55-64 years,28.0,250.0,31.0,22.0,0.0,37.0
09/27/2023,07/01/2020,07/31/2020,By Month,Nevada,Male,65-74 years,57.0,372.0,58.0,41.0,0.0,74.0
09/27/2023,07/01/2020,07/31/2020,By Month,Nevada,Male,75-84 years,75.0,423.0,81.0,58.0,0.0,98.0
09/27/2023,07/01/2020,07/31/2020,By Month,Nevada,Male,85 years and over,39.0,249.0,42.0,29.0,0.0,52.0
09/27/2023,07/01/2020,07/31/2020,By Month,Nevada,Female,0-17 years,0.0,11.0,0.0,0.0,0.0,0.0
09/27/2023,07/01/2020,07/31/2020,By Month,Nevada,Female,15-24 years,0.0,12.0,0.0,0.0,0.0,0.0
09/27/2023,07/01/2020,07/31/2020,By Month,Nevada,Female,50-64 years,22.0,182.0,29.0,18.0,0.0,33.0
09/27/2023,07/01/2020,07/31/2020,By Month,Nevada,Female,55-64 years,17.0,130.0,19.0,13.0,0.0,23.0
09/27/2023,07/01/2020,07/31/2020,By Month,Nevada,Female,65-74 years,34.0,238.0,42.0,27.0,0.0,49.0
09/27/2023,07/01/2020,07/31/2020,By Month,Nevada,Female,75-84 years,38.0,306.0,41.0,28.0,0.0,51.0
09/27/2023,07/01/2020,07/31/2020,By Month,Nevada,Female,85 years and over,31.0,312.0,32.0,21.0,0.0,42.0
09/27/2023,08/01/2020,08/31/2020,By Month,Nevada,Male,0-17 years,0.0,14.0,0.0,0.0,0.0,0.0
09/27/2023,08/01/2020,08/31/2020,By Month,Nevada,Male,15-24 years,0.0,25.0,0.0,0.0,0.0,0.0
09/27/2023,08/01/2020,08/31/2020,By Month,Nevada,Male,40-49 years,21.0,101.0,17.0,16.0,0.0,22.0
09/27/2023,08/01/2020,08/31/2020,By Month,Nevada,Male,45-54 years,36.0,153.0,32.0,30.0,0.0,38.0
09/27/2023,08/01/2020,08/31/2020,By Month,Nevada,Male,50-64 years,71.0,359.0,68.0,56.0,0.0,83.0
09/27/2023,08/01/2020,08/31/2020,By Month,Nevada,Male,55-64 years,50.0,267.0,49.0,38.0,0.0,61.0
09/27/2023,08/01/2020,08/31/2020,By Month,Nevada,Male,65-74 years,76.0,395.0,88.0,61.0,0.0,103.0
09/27/2023,08/01/2020,08/31/2020,By Month,Nevada,Male,75-84 years,88.0,409.0,94.0,71.0,0.0,111.0
09/27/2023,08/01/2020,08/31/2020,By Month,Nevada,Male,85 years and over,39.0,282.0,42.0,30.0,0.0,51.0
09/27/2023,08/01/2020,08/31/2020,By Month,Nevada,Female,0-17 years,0.0,13.0,0.0,0.0,0.0,0.0
09/27/2023,08/01/2020,08/31/2020,By Month,Nevada,Female,5-14 years,0.0,0.0,0.0,0.0,0.0,0.0
09/27/2023,08/01/2020,08/31/2020,By Month,Nevada,Female,15-24 years,0.0,11.0,0.0,0.0,0.0,0.0
09/27/2023,08/01/2020,08/31/2020,By Month,Nevada,Female,18-29 years,0.0,17.0,0.0,0.0,0.0,0.0
09/27/2023,08/01/2020,08/31/2020,By Month,Nevada,Female,25-34 years,0.0,22.0,0.0,0.0,0.0,0.0
09/27/2023,08/01/2020,08/31/2020,By Month,Nevada,Female,30-39 years,0.0,21.0,0.0,0.0,0.0,0.0
09/27/2023,08/01/2020,08/31/2020,By Month,Nevada,Female,50-64 years,31.0,211.0,41.0,24.0,0.0,48.0
09/27/2023,08/01/2020,08/31/2020,By Month,Nevada,Female,55-64 years,25.0,174.0,34.0,20.0,0.0,39.0
09/27/2023,08/01/2020,08/31/2020,By Month,Nevada,Female,65-74 years,46.0,269.0,47.0,36.0,0.0,57.0
09/27/2023,08/01/2020,08/31/2020,By Month,Nevada,Female,75-84 years,44.0,342.0,44.0,30.0,0.0,58.0
09/27/2023,08/01/2020,08/31/2020,By Month,Nevada,Female,85 years and over,45.0,331.0,44.0,34.0,0.0,55.0
09/27/2023,09/01/2020,09/30/2020,By Month,Nevada,Male,Under 1 year,0.0,11.0,0.0,0.0,0.0,0.0
09/27/2023,09/01/2020,09/30/2020,By Month,Nevada,Male,0-17 years,0.0,21.0,0.0,0.0,0.0,0.0
09/27/2023,09/01/2020,09/30/2020,By Month,Nevada,Male,45-54 years,15.0,99.0,18.0,13.0,0.0,20.0
09/27/2023,09/01/2020,09/30/2020,By Month,Nevada,Male,50-64 years,36.0,277.0,47.0,29.0,0.0,54.0
09/27/2023,09/01/2020,09/30/2020,By Month,Nevada,Male,55-64 years,26.0,212.0,36.0,21.0,0.0,41.0
09/27/2023,09/01/2020,09/30/2020,By Month,Nevada,Male,65-74 years,30.0,321.0,54.0,26.0,0.0,58.0
09/27/2023,09/01/2020,09/30/2020,By Month,Nevada,Male,75-84 years,34.0,334.0,49.0,23.0,0.0,60.0
09/27/2023,09/01/2020,09/30/2020,By Month,Nevada,Male,85 years and over,25.0,247.0,23.0,18.0,0.0,30.0
09/27/2023,09/01/2020,09/30/2020,By Month,Nevada,Female,Under 1 year,0.0,10.0,0.0,0.0,0.0,0.0
09/27/2023,09/01/2020,09/30/2020,By Month,Nevada,Female,0-17 years,0.0,13.0,0.0,0.0,0.0,0.0
09/27/2023,09/01/2020,09/30/2020,By Month,Nevada,Female,1-4 years,0.0,0.0,0.0,0.0,0.0,0.0
09/27/2023,09/01/2020,09/30/2020,By Month,Nevada,Female,50-64 years,14.0,158.0,18.0,10.0,0.0,22.0
09/27/2023,09/01/2020,09/30/2020,By Month,Nevada,Female,65-74 years,30.0,226.0,32.0,24.0,0.0,38.0
09/27/2023,09/01/2020,09/30/2020,By Month,Nevada,Female,75-84 years,18.0,278.0,30.0,13.0,0.0,35.0
09/27/2023,09/01/2020,09/30/2020,By Month,Nevada,Female,85 years and over,21.0,301.0,22.0,13.0,0.0,30.0
09/27/2023,10/01/2020,10/31/2020,By Month,Nevada,Male,0-17 years,0.0,17.0,0.0,0.0,0.0,0.0
09/27/2023,10/01/2020,10/31/2020,By Month,Nevada,Male,15-24 years,0.0,26.0,0.0,0.0,0.0,0.0
09/27/2023,10/01/2020,10/31/2020,By Month,Nevada,Male,50-64 years,28.0,289.0,36.0,21.0,0.0,43.0
09/27/2023,10/01/2020,10/31/2020,By Month,Nevada,Male,55-64 years,22.0,227.0,29.0,17.0,0.0,34.0
09/27/2023,10/01/2020,10/31/2020,By Month,Nevada,Male,65-74 years,40.0,342.0,59.0,33.0,0.0,66.0
09/27/2023,10/01/2020,10/31/2020,By Month,Nevada,Male,75-84 years,23.0,314.0,28.0,18.0,0.0,33.0
09/27/2023,10/01/2020,10/31/2020,By Month,Nevada,Male,85 years and over,17.0,221.0,20.0,12.0,0.0,25.0
09/27/2023,10/01/2020,10/31/2020,By Month,Nevada,Female,0-17 years,0.0,10.0,0.0,0.0,0.0,0.0
09/27/2023,10/01/2020,10/31/2020,By Month,Nevada,Female,30-39 years,0.0,20.0,0.0,0.0,0.0,0.0
09/27/2023,10/01/2020,10/31/2020,By Month,Nevada,Female,65-74 years,13.0,226.0,24.0,10.0,0.0,27.0
09/27/2023,10/01/2020,10/31/2020,By Month,Nevada,Female,75-84 years,19.0,309.0,32.0,18.0,0.0,33.0
09/27/2023,11/01/2020,11/30/2020,By Month,Nevada,Male,0-17 years,0.0,21.0,0.0,0.0,0.0,0.0
09/27/2023,11/01/2020,11/30/2020,By Month,Nevada,Male,15-24 years,0.0,19.0,0.0,0.0,0.0,0.0
09/27/2023,11/01/2020,11/30/2020,By Month,Nevada,Male,18-29 years,0.0,32.0,0.0,0.0,0.0,0.0
09/27/2023,11/01/2020,11/30/2020,By Month,Nevada,Male,40-49 years,18.0,92.0,17.0,14.0,0.0,21.0
09/27/2023,11/01/2020,11/30/2020,By Month,Nevada,Male,45-54 years,23.0,115.0,22.0,17.0,0.0,28.0
09/27/2023,11/01/2020,11/30/2020,By Month,Nevada,Male,50-64 years,75.0,315.0,67.0,56.0,0.0,86.0
09/27/2023,11/01/2020,11/30/2020,By Month,Nevada,Male,55-64 years,63.0,251.0,55.0,48.0,0.0,70.0
09/27/2023,11/01/2020,11/30/2020,By Month,Nevada,Male,65-74 years,97.0,416.0,99.0,77.0,0.0,119.0
09/27/2023,11/01/2020,11/30/2020,By Month,Nevada,Male,75-84 years,80.0,376.0,81.0,64.0,0.0,97.0
09/27/2023,11/01/2020,11/30/2020,By Month,Nevada,Male,85 years and over,55.0,280.0,49.0,40.0,0.0,64.0
09/27/2023,11/01/2020,11/30/2020,By Month,Nevada,Female,50-64 years,25.0,173.0,28.0,22.0,0.0,31.0
09/27/2023,11/01/2020,11/30/2020,By Month,Nevada,Female,55-64 years,24.0,144.0,25.0,21.0,0.0,28.0
09/27/2023,11/01/2020,11/30/2020,By Month,Nevada,Female,65-74 years,40.0,274.0,42.0,33.0,0.0,49.0
09/27/2023,11/01/2020,11/30/2020,By Month,Nevada,Female,75-84 years,68.0,343.0,69.0,54.0,0.0,83.0
09/27/2023,11/01/2020,11/30/2020,By Month,Nevada,Female,85 years and over,43.0,330.0,43.0,30.0,0.0,56.0
09/27/2023,12/01/2020,12/31/2020,By Month,Nevada,Male,0-17 years,0.0,16.0,0.0,0.0,0.0,0.0
09/27/2023,12/01/2020,12/31/2020,By Month,Nevada,Male,35-44 years,20.0,79.0,16.0,15.0,0.0,21.0
09/27/2023,12/01/2020,12/31/2020,By Month,Nevada,Male,40-49 years,36.0,115.0,29.0,27.0,0.0,38.0
09/27/2023,12/01/2020,12/31/2020,By Month,Nevada,Male,45-54 years,58.0,177.0,50.0,45.0,0.0,63.0
09/27/2023,12/01/2020,12/31/2020,By Month,Nevada,Male,50-64 years,144.0,427.0,134.0,111.0,0.0,167.0
09/27/2023,12/01/2020,12/31/2020,By Month,Nevada,Male,55-64 years,109.0,321.0,102.0,83.0,0.0,128.0
09/27/2023,12/01/2020,12/31/2020,By Month,Nevada,Male,65-74 years,207.0,554.0,186.0,161.0,0.0,232.0
09/27/2023,12/01/2020,12/31/2020,By Month,Nevada,Male,75-84 years,251.0,586.0,225.0,203.0,0.0,273.0
09/27/2023,12/01/2020,12/31/2020,By Month,Nevada,Male,85 years and over,132.0,400.0,130.0,111.0,0.0,151.0
09/27/2023,12/01/2020,12/31/2020,By Month,Nevada,Female,1-4 years,0.0,0.0,0.0,0.0,0.0,0.0
09/27/2023,12/01/2020,12/31/2020,By Month,Nevada,Female,40-49 years,14.0,51.0,15.0,12.0,0.0,17.0
09/27/2023,12/01/2020,12/31/2020,By Month,Nevada,Female,45-54 years,21.0,81.0,19.0,17.0,0.0,23.0
09/27/2023,12/01/2020,12/31/2020,By Month,Nevada,Female,50-64 years,66.0,227.0,58.0,50.0,0.0,74.0
09/27/2023,12/01/2020,12/31/2020,By Month,Nevada,Female,55-64 years,56.0,179.0,49.0,42.0,0.0,63.0
09/27/2023,12/01/2020,12/31/2020,By Month,Nevada,Female,65-74 years,91.0,333.0,98.0,76.0,0.0,113.0
09/27/2023,12/01/2020,12/31/2020,By Month,Nevada,Female,85 years and over,130.0,485.0,115.0,102.0,0.0,143.0
09/27/2023,01/01/2021,01/31/2021,By Month,Nevada,Male,0-17 years,0.0,12.0,0.0,0.0,0.0,0.0
09/27/2023,01/01/2021,01/31/2021,By Month,Nevada,Male,35-44 years,17.0,72.0,15.0,13.0,0.0,19.0
09/27/2023,01/01/2021,01/31/2021,By Month,Nevada,Male,40-49 years,33.0,108.0,27.0,26.0,0.0,34.0
09/27/2023,01/01/2021,01/31/2021,By Month,Nevada,Male,45-54 years,46.0,153.0,35.0,34.0,0.0,47.0
09/27/2023,01/01/2021,01/31/2021,By Month,Nevada,Male,75-84 years,206.0,579.0,198.0,175.0,0.0,229.0
09/27/2023,01/01/2021,01/31/2021,By Month,Nevada,Male,85 years and over,124.0,353.0,115.0,104.0,0.0,135.0
09/27/2023,01/01/2021,01/31/2021,By Month,Nevada,Female,45-54 years,20.0,91.0,23.0,19.0,0.0,24.0
09/27/2023,01/01/2021,01/31/2021,By Month,Nevada,Female,50-64 years,72.0,220.0,68.0,60.0,0.0,80.0
09/27/2023,01/01/2021,01/31/2021,By Month,Nevada,Female,55-64 years,61.0,177.0,54.0,49.0,0.0,66.0
09/27/2023,01/01/2021,01/31/2021,By Month,Nevada,Female,65-74 years,112.0,316.0,110.0,92.0,0.0,130.0
09/27/2023,01/01/2021,01/31/2021,By Month,Nevada,Female,85 years and over,119.0,460.0,99.0,90.0,0.0,128.0
09/27/2023,02/01/2021,02/28/2021,By Month,Nevada,Male,5-14 years,0.0,0.0,0.0,0.0,0.0,0.0
09/27/2023,02/01/2021,02/28/2021,By Month,Nevada,Male,45-54 years,21.0,118.0,20.0,17.0,0.0,24.0
09/27/2023,02/01/2021,02/28/2021,By Month,Nevada,Male,50-64 years,73.0,298.0,66.0,57.0,0.0,82.0
09/27/2023,02/01/2021,02/28/2021,By Month,Nevada,Male,55-64 years,59.0,226.0,51.0,45.0,0.0,65.0
09/27/2023,02/01/2021,02/28/2021,By Month,Nevada,Male,85 years and over,59.0,262.0,54.0,49.0,0.0,64.0
09/27/2023,02/01/2021,02/28/2021,By Month,Nevada,Female,1-4 years,0.0,0.0,0.0,0.0,0.0,0.0
09/27/2023,02/01/2021,02/28/2021,By Month,Nevada,Female,15-24 years,0.0,11.0,0.0,0.0,0.0,0.0
09/27/2023,02/01/2021,02/28/2021,By Month,Nevada,Female,45-54 years,14.0,67.0,19.0,11.0,0.0,22.0
09/27/2023,02/01/2021,02/28/2021,By Month,Nevada,Female,50-64 years,43.0,186.0,44.0,33.0,0.0,54.0
09/27/2023,02/01/2021,02/28/2021,By Month,Nevada,Female,55-64 years,31.0,140.0,31.0,24.0,0.0,38.0
09/27/2023,02/01/2021,02/28/2021,By Month,Nevada,Female,65-74 years,47.0,231.0,56.0,41.0,0.0,62.0
09/27/2023,02/01/2021,02/28/2021,By Month,Nevada,Female,75-84 years,57.0,326.0,67.0,47.0,0.0,77.0
09/27/2023,02/01/2021,02/28/2021,By Month,Nevada,Female,85 years and over,33.0,290.0,31.0,24.0,0.0,40.0
09/27/2023,03/01/2021,03/31/2021,By Month,Nevada,Male,0-17 years,0.0,22.0,0.0,0.0,0.0,0.0
09/27/2023,03/01/2021,03/31/2021,By Month,Nevada,Male,15-24 years,0.0,23.0,0.0,0.0,0.0,0.0
09/27/2023,03/01/2021,03/31/2021,By Month,Nevada,Male,50-64 years,27.0,275.0,32.0,21.0,0.0,38.0
09/27/2023,03/01/2021,03/31/2021,By Month,Nevada,Male,55-64 years,23.0,220.0,28.0,19.0,0.0,32.0
09/27/2023,03/01/2021,03/31/2021,By Month,Nevada,Male,75-84 years,37.0,366.0,48.0,28.0,0.0,57.0
09/27/2023,03/01/2021,03/31/2021,By Month,Nevada,Male,85 years and over,23.0,238.0,25.0,17.0,0.0,31.0
09/27/2023,03/01/2021,03/31/2021,By Month,Nevada,Female,Under 1 year,0.0,10.0,0.0,0.0,0.0,0.0
09/27/2023,03/01/2021,03/31/2021,By Month,Nevada,Female,0-17 years,0.0,18.0,0.0,0.0,0.0,0.0
09/27/2023,03/01/2021,03/31/2021,By Month,Nevada,Female,65-74 years,27.0,253.0,34.0,20.0,0.0,41.0
09/27/2023,03/01/2021,03/31/2021,By Month,Nevada,Female,75-84 years,19.0,294.0,24.0,11.0,0.0,32.0
09/27/2023,04/01/2021,04/30/2021,By Month,Nevada,Male,0-17 years,0.0,12.0,0.0,0.0,0.0,0.0
09/27/2023,04/01/2021,04/30/2021,By Month,Nevada,Male,50-64 years,22.0,267.0,29.0,16.0,0.0,35.0
09/27/2023,04/01/2021,04/30/2021,By Month,Nevada,Male,55-64 years,18.0,220.0,24.0,13.0,0.0,29.0
09/27/2023,04/01/2021,04/30/2021,By Month,Nevada,Male,65-74 years,24.0,341.0,41.0,18.0,0.0,47.0
09/27/2023,04/01/2021,04/30/2021,By Month,Nevada,Male,75-84 years,22.0,342.0,43.0,19.0,0.0,46.0
09/27/2023,04/01/2021,04/30/2021,By Month,Nevada,Male,85 years and over,11.0,199.0,20.0,10.0,0.0,21.0
09/27/2023,04/01/2021,04/30/2021,By Month,Nevada,Female,1-4 years,0.0,0.0,0.0,0.0,0.0,0.0
09/27/2023,04/01/2021,04/30/2021,By Month,Nevada,Female,50-64 years,19.0,176.0,29.0,19.0,0.0,29.0
09/27/2023,04/01/2021,04/30/2021,By Month,Nevada,Female,55-64 years,14.0,137.0,22.0,14.0,0.0,22.0
09/27/2023,04/01/2021,04/30/2021,By Month,Nevada,Female,65-74 years,15.0,218.0,20.0,13.0,0.0,22.0
09/27/2023,04/01/2021,04/30/2021,By Month,Nevada,Female,75-84 years,14.0,266.0,22.0,11.0,0.0,25.0
09/27/2023,05/01/2021,05/31/2021,By Month,Nevada,Male,15-24 years,0.0,27.0,0.0,0.0,0.0,0.0
09/27/2023,05/01/2021,05/31/2021,By Month,Nevada,Male,50-64 years,17.0,307.0,28.0,14.0,0.0,31.0
09/27/2023,05/01/2021,05/31/2021,By Month,Nevada,Male,65-74 years,22.0,340.0,37.0,13.0,0.0,46.0
09/27/2023,05/01/2021,05/31/2021,By Month,Nevada,Female,1-4 years,0.0,0.0,0.0,0.0,0.0,0.0
09/27/2023,05/01/2021,05/31/2021,By Month,Nevada,Female,50-64 years,15.0,177.0,25.0,13.0,0.0,27.0
09/27/2023,05/01/2021,05/31/2021,By Month,Nevada,Female,55-64 years,13.0,143.0,23.0,12.0,0.0,24.0
09/27/2023,05/01/2021,05/31/2021,By Month,Nevada,Female,65-74 years,17.0,239.0,24.0,11.0,0.0,30.0
09/27/2023,06/01/2021,06/30/2021,By Month,Nevada,Male,0-17 years,0.0,17.0,0.0,0.0,0.0,0.0
09/27/2023,06/01/2021,06/30/2021,By Month,Nevada,Male,15-24 years,0.0,24.0,0.0,0.0,0.0,0.0
09/27/2023,06/01/2021,06/30/2021,By Month,Nevada,Male,50-64 years,22.0,310.0,29.0,14.0,0.0,37.0
09/27/2023,06/01/2021,06/30/2021,By Month,Nevada,Male,65-74 years,13.0,337.0,31.0,13.0,0.0,31.0
09/27/2023,06/01/2021,06/30/2021,By Month,Nevada,Male,75-84 years,15.0,288.0,24.0,10.0,0.0,29.0
09/27/2023,06/01/2021,06/30/2021,By Month,Nevada,Female,1-4 years,0.0,0.0,0.0,0.0,0.0,0.0
09/27/2023,06/01/2021,06/30/2021,By Month,Nevada,Female,15-24 years,0.0,10.0,0.0,0.0,0.0,0.0
09/27/2023,06/01/2021,06/30/2021,By Month,Nevada,Female,50-64 years,16.0,174.0,19.0,10.0,0.0,25.0
09/27/2023,06/01/2021,06/30/2021,By Month,Nevada,Female,65-74 years,16.0,214.0,23.0,12.0,0.0,27.0
09/27/2023,06/01/2021,06/30/2021,By Month,Nevada,Female,75-84 years,13.0,296.0,25.0,11.0,0.0,27.0
09/27/2023,07/01/2021,07/31/2021,By Month,Nevada,Male,0-17 years,0.0,12.0,0.0,0.0,0.0,0.0
09/27/2023,07/01/2021,07/31/2021,By Month,Nevada,Male,15-24 years,0.0,24.0,0.0,0.0,0.0,0.0
09/27/2023,07/01/2021,07/31/2021,By Month,Nevada,Male,40-49 years,26.0,118.0,18.0,14.0,0.0,30.0
09/27/2023,07/01/2021,07/31/2021,By Month,Nevada,Male,45-54 years,32.0,155.0,24.0,22.0,0.0,34.0
09/27/2023,07/01/2021,07/31/2021,By Month,Nevada,Male,50-64 years,58.0,375.0,56.0,41.0,0.0,73.0
09/27/2023,07/01/2021,07/31/2021,By Month,Nevada,Male,55-64 years,43.0,291.0,43.0,29.0,0.0,57.0
09/27/2023,07/01/2021,07/31/2021,By Month,Nevada,Male,65-74 years,56.0,395.0,62.0,47.0,0.0,71.0
09/27/2023,07/01/2021,07/31/2021,By Month,Nevada,Male,75-84 years,42.0,371.0,48.0,34.0,0.0,56.0
09/27/2023,07/01/2021,07/31/2021,By Month,Nevada,Male,85 years and over,17.0,221.0,25.0,16.0,0.0,26.0
09/27/2023,07/01/2021,07/31/2021,By Month,Nevada,Female,5-14 years,0.0,0.0,0.0,0.0,0.0,0.0
09/27/2023,07/01/2021,07/31/2021,By Month,Nevada,Female,40-49 years,15.0,58.0,14.0,11.0,0.0,18.0
09/27/2023,07/01/2021,07/31/2021,By Month,Nevada,Female,45-54 years,22.0,87.0,22.0,18.0,0.0,26.0
09/27/2023,07/01/2021,07/31/2021,By Month,Nevada,Female,50-64 years,46.0,228.0,48.0,38.0,0.0,56.0
09/27/2023,07/01/2021,07/31/2021,By Month,Nevada,Female,55-64 years,34.0,172.0,36.0,27.0,0.0,43.0
09/27/2023,07/01/2021,07/31/2021,By Month,Nevada,Female,65-74 years,34.0,268.0,41.0,25.0,0.0,50.0
09/27/2023,07/01/2021,07/31/2021,By Month,Nevada,Female,75-84 years,41.0,323.0,48.0,37.0,0.0,52.0
09/27/2023,07/01/2021,07/31/2021,By Month,Nevada,Female,85 years and over,21.0,294.0,24.0,15.0,0.0,30.0
09/27/2023,08/01/2021,08/31/2021,By Month,Nevada,Male,Under 1 year,0.0,10.0,0.0,0.0,0.0,0.0
09/27/2023,08/01/2021,08/31/2021,By Month,Nevada,Male,25-34 years,12.0,67.0,12.0,10.0,0.0,14.0
09/27/2023,08/01/2021,08/31/2021,By Month,Nevada,Male,30-39 years,25.0,80.0,19.0,18.0,0.0,26.0
09/27/2023,08/01/2021,08/31/2021,By Month,Nevada,Male,35-44 years,33.0,87.0,27.0,25.0,0.0,35.0
09/27/2023,08/01/2021,08/31/2021,By Month,Nevada,Male,40-49 years,51.0,124.0,45.0,42.0,0.0,54.0
09/27/2023,08/01/2021,08/31/2021,By Month,Nevada,Male,45-54 years,66.0,183.0,53.0,51.0,0.0,68.0
09/27/2023,08/01/2021,08/31/2021,By Month,Nevada,Male,50-64 years,119.0,402.0,105.0,95.0,0.0,129.0
09/27/2023,08/01/2021,08/31/2021,By Month,Nevada,Male,55-64 years,88.0,292.0,81.0,72.0,0.0,97.0
09/27/2023,08/01/2021,08/31/2021,By Month,Nevada,Male,65-74 years,126.0,442.0,129.0,106.0,0.0,149.0
09/27/2023,08/01/2021,08/31/2021,By Month,Nevada,Male,75-84 years,91.0,443.0,83.0,67.0,0.0,107.0
09/27/2023,08/01/2021,08/31/2021,By Month,Nevada,Male,85 years and over,27.0,244.0,32.0,23.0,0.0,36.0
09/27/2023,08/01/2021,08/31/2021,By Month,Nevada,Female,Under 1 year,0.0,17.0,0.0,0.0,0.0,0.0
09/27/2023,08/01/2021,08/31/2021,By Month,Nevada,Female,1-4 years,0.0,0.0,0.0,0.0,0.0,0.0
09/27/2023,08/01/2021,08/31/2021,By Month,Nevada,Female,40-49 years,21.0,60.0,15.0,13.0,0.0,23.0
09/27/2023,08/01/2021,08/31/2021,By Month,Nevada,Female,45-54 years,35.0,88.0,29.0,27.0,0.0,37.0
09/27/2023,08/01/2021,08/31/2021,By Month,Nevada,Female,50-64 years,80.0,247.0,73.0,62.0,0.0,91.0
09/27/2023,08/01/2021,08/31/2021,By Month,Nevada,Female,55-64 years,57.0,189.0,53.0,44.0,0.0,66.0
09/27/2023,08/01/2021,08/31/2021,By Month,Nevada,Female,65-74 years,76.0,281.0,68.0,57.0,0.0,87.0
09/27/2023,08/01/2021,08/31/2021,By Month,Nevada,Female,75-84 years,62.0,325.0,68.0,54.0,0.0,76.0
09/27/2023,08/01/2021,08/31/2021,By Month,Nevada,Female,85 years and over,33.0,306.0,39.0,27.0,0.0,45.0
09/27/2023,09/01/2021,09/30/2021,By Month,Nevada,Male,30-39 years,16.0,75.0,14.0,13.0,0.0,17.0
09/27/2023,09/01/2021,09/30/2021,By Month,Nevada,Male,35-44 years,27.0,99.0,24.0,23.0,0.0,28.0
09/27/2023,09/01/2021,09/30/2021,By Month,Nevada,Male,40-49 years,50.0,140.0,42.0,41.0,0.0,51.0
09/27/2023,09/01/2021,09/30/2021,By Month,Nevada,Male,45-54 years,80.0,185.0,66.0,63.0,0.0,83.0
09/27/2023,09/01/2021,09/30/2021,By Month,Nevada,Male,50-64 years,145.0,391.0,132.0,112.0,0.0,165.0
09/27/2023,09/01/2021,09/30/2021,By Month,Nevada,Male,55-64 years,99.0,289.0,94.0,76.0,0.0,117.0
09/27/2023,09/01/2021,09/30/2021,By Month,Nevada,Male,65-74 years,113.0,416.0,115.0,99.0,0.0,129.0
09/27/2023,09/01/2021,09/30/2021,By Month,Nevada,Male,75-84 years,75.0,395.0,81.0,58.0,0.0,98.0
09/27/2023,09/01/2021,09/30/2021,By Month,Nevada,Male,85 years and over,45.0,253.0,42.0,33.0,0.0,54.0
09/27/2023,09/01/2021,09/30/2021,By Month,Nevada,Female,0-17 years,0.0,10.0,0.0,0.0,0.0,0.0
09/27/2023,09/01/2021,09/30/2021,By Month,Nevada,Female,35-44 years,14.0,37.0,15.0,12.0,0.0,17.0
09/27/2023,09/01/2021,09/30/2021,By Month,Nevada,Female,40-49 years,21.0,55.0,20.0,17.0,0.0,24.0
09/27/2023,09/01/2021,09/30/2021,By Month,Nevada,Female,45-54 years,31.0,81.0,29.0,26.0,0.0,34.0
09/27/2023,09/01/2021,09/30/2021,By Month,Nevada,Female,50-64 years,84.0,248.0,80.0,71.0,0.0,93.0
09/27/2023,09/01/2021,09/30/2021,By Month,Nevada,Female,55-64 years,64.0,197.0,60.0,53.0,0.0,71.0
09/27/2023,09/01/2021,09/30/2021,By Month,Nevada,Female,65-74 years,70.0,284.0,78.0,57.0,0.0,91.0
09/27/2023,09/01/2021,09/30/2021,By Month,Nevada,Female,75-84 years,61.0,346.0,58.0,42.0,0.0,77.0
09/27/2023,09/01/2021,09/30/2021,By Month,Nevada,Female,85 years and over,40.0,300.0,32.0,22.0,0.0,50.0
09/27/2023,10/01/2021,10/31/2021,By Month,Nevada,Male,Under 1 year,0.0,11.0,0.0,0.0,0.0,0.0
09/27/2023,10/01/2021,10/31/2021,By Month,Nevada,Male,1-4 years,0.0,0.0,0.0,0.0,0.0,0.0
09/27/2023,10/01/2021,10/31/2021,By Month,Nevada,Male,15-24 years,0.0,23.0,0.0,0.0,0.0,0.0
09/27/2023,10/01/2021,10/31/2021,By Month,Nevada,Male,35-44 years,20.0,71.0,15.0,15.0,0.0,20.0
